CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 
Done!16.26 s

Number of sentences: 15586
Number of features:  1528756
Number of thread(s): 8
Freq:                4
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=52 terr=0.00684 serr=0.16881 act=1528756 obj=12212.68009 diff=0.00807
iter=53 terr=0.00672 serr=0.16656 act=1528756 obj=11895.34814 diff=0.02598
iter=54 terr=0.00657 serr=0.16374 act=1528756 obj=11721.17722 diff=0.01464
iter=55 terr=0.00636 serr=0.15944 act=1528756 obj=11165.20688 diff=0.04743
iter=56 terr=0.00621 serr=0.15681 act=1528756 obj=10989.53311 diff=0.01573
iter=57 terr=0.00605 serr=0.15540 act=1528756 obj=10823.20681 diff=0.01513
iter=58 terr=0.00593 serr=0.15180 act=1528756 obj=10619.21248 diff=0.01885
iter=59 terr=0.00581 serr=0.14943 act=1528756 obj=10440.64350 diff=0.01682
iter=60 terr=0.00561 serr=0.14519 act=1528756 obj=10024.37751 diff=0.03987
iter=61 terr=0.00709 serr=0.16694 act=1528756 obj=11208.21004 diff=0.11810
iter=62 terr=0.00565 serr=0.14667 act=1528756 obj=9936.16903 diff=0.11349
iter=63 terr=0.00560 serr=0.14500 act=1528756 obj=9820.58850 diff=0.01163
iter=64 terr=0.00538 serr=0.14057 act=1528756 obj=9543.08949 diff=0.02826
iter=65 terr=0.00520 serr=0.13512 act=1528756 obj=9241.48408 diff=0.03160
iter=66 terr=0.00460 serr=0.12652 act=1528756 obj=8872.95658 diff=0.03988
iter=67 terr=0.00458 serr=0.12441 act=1528756 obj=8721.29023 diff=0.01709
iter=68 terr=0.00455 serr=0.12409 act=1528756 obj=8679.65599 diff=0.00477
iter=69 terr=0.00441 serr=0.12126 act=1528756 obj=8581.29020 diff=0.01133
iter=70 terr=0.00421 serr=0.11728 act=1528756 obj=8337.07862 diff=0.02846
iter=71 terr=0.00481 serr=0.13037 act=1528756 obj=9188.64252 diff=0.10214
iter=72 terr=0.00409 serr=0.11465 act=1528756 obj=8252.58199 diff=0.10187
iter=73 terr=0.00397 serr=0.11241 act=1528756 obj=7954.32698 diff=0.03614
iter=74 terr=0.00382 serr=0.10965 act=1528756 obj=7863.75689 diff=0.01139
iter=75 terr=0.00376 serr=0.10830 act=1528756 obj=7800.13876 diff=0.00809
iter=76 terr=0.00375 serr=0.10670 act=1528756 obj=7689.49879 diff=0.01418
iter=77 terr=0.00368 serr=0.10400 act=1528756 obj=7469.37091 diff=0.02863
iter=78 terr=0.00353 serr=0.10086 act=1528756 obj=7205.78463 diff=0.03529
iter=79 terr=0.00348 serr=0.09849 act=1528756 obj=6902.19766 diff=0.04213
iter=80 terr=0.00407 serr=0.11279 act=1528756 obj=7985.73001 diff=0.15698
iter=81 terr=0.00332 serr=0.09598 act=1528756 obj=6829.97071 diff=0.14473
iter=82 terr=0.00326 serr=0.09348 act=1528756 obj=6735.71657 diff=0.01380
iter=83 terr=0.00309 serr=0.08931 act=1528756 obj=6552.54311 diff=0.02719
iter=84 terr=0.00298 serr=0.08726 act=1528756 obj=6469.60508 diff=0.01266
iter=85 terr=0.00283 serr=0.08411 act=1528756 obj=6306.59444 diff=0.02520
iter=86 terr=0.00271 serr=0.08161 act=1528756 obj=6116.31185 diff=0.03017
iter=87 terr=0.00285 serr=0.08392 act=1528756 obj=6340.06625 diff=0.03658
iter=88 terr=0.00248 serr=0.07757 act=1528756 obj=6039.92068 diff=0.04734
iter=89 terr=0.00245 serr=0.07609 act=1528756 obj=5901.44831 diff=0.02293
iter=90 terr=0.00239 serr=0.07468 act=1528756 obj=5838.88522 diff=0.01060
iter=91 terr=0.00236 serr=0.07340 act=1528756 obj=5794.52447 diff=0.00760
iter=92 terr=0.00225 serr=0.07154 act=1528756 obj=5728.12235 diff=0.01146
iter=93 terr=0.00215 serr=0.06878 act=1528756 obj=5630.12242 diff=0.01711
iter=94 terr=0.00272 serr=0.08200 act=1528756 obj=6401.16077 diff=0.13695
iter=95 terr=0.00209 serr=0.06820 act=1528756 obj=5608.86607 diff=0.12377
iter=96 terr=0.00205 serr=0.06602 act=1528756 obj=5550.72030 diff=0.01037
iter=97 terr=0.00228 serr=0.06916 act=1528756 obj=5730.15537 diff=0.03233
iter=98 terr=0.00201 serr=0.06519 act=1528756 obj=5518.95449 diff=0.03686
iter=99 terr=0.00196 serr=0.06333 act=1528756 obj=5479.52814 diff=0.00714
iter=100 terr=0.00189 serr=0.06243 act=1528756 obj=5412.98595 diff=0.01214
iter=101 terr=0.00176 serr=0.05973 act=1528756 obj=5309.94005 diff=0.01904
iter=102 terr=0.00180 serr=0.05980 act=1528756 obj=5284.81854 diff=0.00473
iter=103 terr=0.00170 serr=0.05697 act=1528756 obj=5223.91553 diff=0.01152
iter=104 terr=0.00168 serr=0.05640 act=1528756 obj=5192.77129 diff=0.00596
iter=105 terr=0.00163 serr=0.05511 act=1528756 obj=5172.17923 diff=0.00397
iter=106 terr=0.00160 serr=0.05422 act=1528756 obj=5129.10731 diff=0.00833
iter=107 terr=0.00186 serr=0.05980 act=1528756 obj=5349.73390 diff=0.04301
iter=108 terr=0.00154 serr=0.05235 act=1528756 obj=5105.57128 diff=0.04564
iter=109 terr=0.00157 serr=0.05229 act=1528756 obj=5064.56202 diff=0.00803
iter=110 terr=0.00153 serr=0.05094 act=1528756 obj=5033.89658 diff=0.00605
iter=111 terr=0.00144 serr=0.04895 act=1528756 obj=4964.25491 diff=0.01383
iter=112 terr=0.00139 serr=0.04786 act=1528756 obj=4934.74847 diff=0.00594
iter=113 terr=0.00127 serr=0.04433 act=1528756 obj=4895.36621 diff=0.00798
iter=114 terr=0.00126 serr=0.04389 act=1528756 obj=4886.67535 diff=0.00178
iter=115 terr=0.00123 serr=0.04331 act=1528756 obj=4857.11350 diff=0.00605
iter=116 terr=0.00181 serr=0.05351 act=1528756 obj=5380.79057 diff=0.10782
iter=117 terr=0.00121 serr=0.04267 act=1528756 obj=4849.06087 diff=0.09882
iter=118 terr=0.00117 serr=0.04190 act=1528756 obj=4834.30848 diff=0.00304
iter=119 terr=0.00116 serr=0.04087 act=1528756 obj=4802.98127 diff=0.00648
iter=120 terr=0.00127 serr=0.04376 act=1528756 obj=4831.77354 diff=0.00599
iter=121 terr=0.00115 serr=0.04081 act=1528756 obj=4795.08277 diff=0.00759
iter=122 terr=0.00116 serr=0.04093 act=1528756 obj=4782.09064 diff=0.00271
iter=123 terr=0.00114 serr=0.03997 act=1528756 obj=4752.98680 diff=0.00609
iter=124 terr=0.00110 serr=0.03869 act=1528756 obj=4714.63936 diff=0.00807
iter=125 terr=0.00102 serr=0.03657 act=1528756 obj=4682.28379 diff=0.00686
iter=126 terr=0.00096 serr=0.03420 act=1528756 obj=4651.12831 diff=0.00665
iter=127 terr=0.00089 serr=0.03266 act=1528756 obj=4617.69308 diff=0.00719
iter=128 terr=0.00082 serr=0.03080 act=1528756 obj=4592.12673 diff=0.00554
iter=129 terr=0.00079 serr=0.03009 act=1528756 obj=4575.32569 diff=0.00366
iter=130 terr=0.00079 serr=0.02964 act=1528756 obj=4556.83660 diff=0.00404
iter=131 terr=0.00080 serr=0.02939 act=1528756 obj=4548.47819 diff=0.00183
iter=132 terr=0.00081 serr=0.02983 act=1528756 obj=4541.66195 diff=0.00150
iter=133 terr=0.00081 serr=0.02977 act=1528756 obj=4529.39947 diff=0.00270
iter=134 terr=0.00080 serr=0.02932 act=1528756 obj=4498.96576 diff=0.00672
iter=135 terr=0.00075 serr=0.02727 act=1528756 obj=4472.33936 diff=0.00592
iter=136 terr=0.00076 serr=0.02714 act=1528756 obj=4454.93232 diff=0.00389
iter=137 terr=0.00075 serr=0.02688 act=1528756 obj=4448.08698 diff=0.00154
iter=138 terr=0.00073 serr=0.02643 act=1528756 obj=4439.82517 diff=0.00186
iter=139 terr=0.00070 serr=0.02560 act=1528756 obj=4425.73111 diff=0.00317
iter=140 terr=0.00066 serr=0.02521 act=1528756 obj=4394.61442 diff=0.00703
iter=141 terr=0.00063 serr=0.02419 act=1528756 obj=4361.72255 diff=0.00748
iter=142 terr=0.00129 serr=0.03920 act=1528756 obj=4868.82711 diff=0.11626
